City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Vung Tau,VN,80.56,overcast clouds,10.346,107.0843,Green hotel
16,Atuona,PF,77.59,broken clouds,-9.8,-139.0333,Villa Enata
17,Cabo Rojo,PR,83.91,scattered clouds,18.0866,-67.1457,Hotel Perichi's
24,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
26,Shingu,JP,83.39,overcast clouds,33.7333,135.9833,Shingu UI Hotel
28,San Pedro,PH,79.16,heavy intensity rain,14.35,121.0167,Villa Veronica Resort Private Pool
35,Ushtobe,KZ,75.81,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
38,Progreso,MX,84.79,few clouds,21.2833,-89.6667,Playa Linda Hotel
41,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Bubaque,GW,81.01,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
51,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
57,Marsh Harbour,BS,84.0,light rain,26.5412,-77.0636,Abaco Beach Resort
59,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Hotel Central
62,Lompoc,US,88.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
67,Matamoros,MX,80.11,overcast clouds,25.5333,-103.25,Quinta Belem
72,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
74,Santa Maria Da Vitoria,BR,76.93,few clouds,-13.3947,-44.1886,Pousada Rio Current
80,Sao Benedito Do Rio Preto,BR,75.33,scattered clouds,-3.3336,-43.5283,João de Barro Hotel
87,College,US,78.01,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
91,Kavieng,PG,82.56,light rain,-2.5744,150.7967,Nusa Island Retreat
93,Norman Wells,CA,84.24,broken clouds,65.282,-126.8329,Heritage Hotel
102,Ishinomaki,JP,77.0,broken clouds,38.4167,141.3,Hotel Route Inn Ishinomaki Henan Inter
108,Abonnema,NG,77.29,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
109,Hilo,US,85.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
115,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
119,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
124,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
137,Singaraja,ID,76.69,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
