City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iqaluit,CA,63.7506,-68.5145,46.13,75,90,11.01,overcast clouds
1,Albany,US,42.6001,-73.9662,72.75,84,53,6.67,broken clouds
2,Thinadhoo,MV,0.5333,72.9333,81.37,75,100,6.96,overcast clouds
3,Katete,UG,-0.7818,29.7544,69.48,55,100,1.05,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,46.47,97,100,2.39,overcast clouds
5,Bluff,NZ,-46.6,168.3333,46.8,67,84,11.41,broken clouds
6,Khatanga,RU,71.9667,102.5,53.82,92,100,2.08,overcast clouds
7,Jeremoabo,BR,-10.075,-38.4808,67.37,83,8,8.81,clear sky
8,Yeppoon,AU,-23.1333,150.7333,53.38,48,0,5.35,clear sky
9,Castro,BR,-24.7911,-50.0119,50.5,60,6,2.33,clear sky
10,Vung Tau,VN,10.346,107.0843,80.56,82,100,14.83,overcast clouds
11,Codrington,AU,-38.2667,141.9667,43.5,86,100,11.21,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,46.81,84,75,1.99,light rain
13,Rikitea,PF,-23.1203,-134.9692,72.95,60,21,14.97,few clouds
14,Nome,US,64.5011,-165.4064,50.16,76,75,16.11,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,39.31,87,90,11.5,light rain
16,Atuona,PF,-9.8,-139.0333,77.59,68,74,17.94,broken clouds
17,Cabo Rojo,PR,18.0866,-67.1457,83.91,87,47,10.8,scattered clouds
18,Chinhoyi,ZW,-17.3667,30.2,55.8,52,0,2.33,clear sky
19,Wattegama,LK,6.7989,81.4808,77.67,69,100,6.22,overcast clouds
20,Dikson,RU,73.5069,80.5464,49.17,68,100,17.02,overcast clouds
21,Ancud,CL,-41.8697,-73.8203,49.53,85,100,12.26,overcast clouds
22,Smirnykh,RU,49.75,142.8333,66.51,80,97,4.34,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,7.23,moderate rain
24,Alofi,NU,-19.0595,-169.9187,78.69,83,75,16.11,broken clouds
